"","id","rank","workers","company","url","state_l","state_s","city","metro","growth","revenue","industry","yrs_on_list"
"628",21426,628,70,"Quality Management Solutions","quality-management-solutions","Massachusetts","MA","Wakefield","Philadelphia",741,17282821,"IT Services",3
"629",23297,629,206,"Kendra Scott","kendra-scott","Texas","TX","Austin","Austin",741,11602692,"Retail",2
"630",25728,630,12,"Dicks Nanton Agency","dicks-nanton-agency","Florida","FL","Orlando","Orlando FL",741,3103047,"Advertising & Marketing",1
"631",23038,631,725,"TaskUs","taskus","California","CA","Santa Monica","Los Angeles",739,6243017,"Business Products & Services",2
"632",23418,632,94,"Glover Services","glover-services","Utah","UT","Bluffdale","Salt Lake City",738,16050088,"Construction",2
"633",25621,633,30,"Dime","dime","Georgia","GA","Cumming","Atlanta",736,2140645,"Business Products & Services",1
"634",21064,634,30,"The Premier Group Staffing","the-premier-group-staffing","Colorado","CO","Denver","Denver",735,13657622,"Human Resources",3
"635",26582,635,465,"Opower","opower","Virginia","VA","Arlington","Washington DC",734,88703000,"Energy",1
"636",26295,636,56,"The Rinaldi Group","the-rinaldi-group","New Jersey","NJ","Secaucus","New York City",733,75469081,"Construction",1
"637",23029,637,11,"SiiBER","siiber","Indiana","IN","Fort Wayne","Fort Wayne IN",732,2368691,"Consumer Products & Services",2
"638",23243,638,130,"MobileOne","mobileone","California","CA","San Diego","San Diego",730,59079647,"Retail",2
"639",25194,639,58,"7Summits","7summits","Wisconsin","WI","Milwaukee","Milwaukee-Waukesha-West Allis WI",728,10248000,"Business Products & Services",1
"640",23245,640,65,"Signature Consulting Group","signature-consulting-group","Maryland","MD","Windsor Mill","Baltimore",727,15381665,"IT Services",2
"641",25985,641,35,"OrangePeople","orangepeople","California","CA","Irvine","Los Angeles",727,4573171,"IT Services",1
"642",26578,642,6,"McGregor Homes","mcgregor-homes","Oklahoma","OK","Edmond","Oklahoma City OK",726,6114000,"Real Estate",1
"643",23055,643,41,"Camp Gladiator","camp-gladiator","Texas","TX","Austin","Austin",725,6786000,"Consumer Products & Services",2
"644",25506,644,20,"Kings Capital Construction","kings-capital-construction","New York","NY","White Plains","New York City",714,6472728,"Construction",1
"645",23433,645,85,"iUnlimited Investigative Services","iunlimited-investigative-services","California","CA","Sacramento","Sacramento--Arden-Arcade--Roseville CA",713,5173330,"Security",2
